algorithm,n_samples,n_features,time_ms,metric_name,metric_value,device
SGD_Nesterov,4096,32,6.1724,BCE_Loss,0.000184,CUDA
SGDR,4096,32,7.4674,Accuracy,100.000000,CUDA
SGDR,4096,32,7.0161,BCE_Loss,0.000342,CUDA
LBFGS,4096,32,4.8272,Accuracy,100.000000,CUDA
LBFGS,4096,32,5.8431,BCE_Loss,0.000007,CUDA
GMM_EM,4096,32,22.999,LogLikelihood,-39.662981,CUDA
KernelPCA,4096,32,2.0744,VarExplained,2431.123779,CUDA
MLP_AdamW,4096,32,91.3962,Accuracy,100.000000,CUDA
MLP_AdamW,4096,32,86.8631,CE_Loss,0.000007,CUDA
RandomForest,4096,32,1920.6316,Accuracy,100.000000,CUDA
RandomForest,4096,32,1607.273,OOB_Accuracy,99.975580,CUDA
AdamW,8192,32,8.3745,Accuracy,100.000000,CUDA
AdamW,8192,32,8.9697,BCE_Loss,0.000058,CUDA
Nadam,8192,32,9.1449,Accuracy,100.000000,CUDA
Nadam,8192,32,9.2888,BCE_Loss,0.000050,CUDA
RMSProp,8192,32,8.4854,Accuracy,100.000000,CUDA
RMSProp,8192,32,9.3586,BCE_Loss,0.000000,CUDA
SGD_Nesterov,8192,32,10.2685,Accuracy,100.000000,CUDA
SGD_Nesterov,8192,32,9.736,BCE_Loss,0.000057,CUDA
SGDR,8192,32,11.2906,Accuracy,100.000000,CUDA
SGDR,8192,32,10.9592,BCE_Loss,0.000109,CUDA
LBFGS,8192,32,1.5386,Accuracy,100.000000,CUDA
LBFGS,8192,32,1.5098,BCE_Loss,0.000000,CUDA
GMM_EM,8192,32,44.4119,LogLikelihood,-39.664623,CUDA
KernelPCA,8192,32,3.4999,VarExplained,4166.261719,CUDA
MLP_AdamW,8192,32,174.9305,Accuracy,100.000000,CUDA
MLP_AdamW,8192,32,185.4801,CE_Loss,0.000000,CUDA
RandomForest,8192,32,1717.2264,Accuracy,100.000000,CUDA
RandomForest,8192,32,1736.0643,OOB_Accuracy,100.000000,CUDA
AdamW,16384,32,31.3655,Accuracy,100.000000,CUDA
AdamW,16384,32,31.7008,BCE_Loss,0.000003,CUDA
Nadam,16384,32,40.3023,Accuracy,100.000000,CUDA
Nadam,16384,32,43.5519,BCE_Loss,0.000003,CUDA
RMSProp,16384,32,39.5818,Accuracy,100.000000,CUDA
RMSProp,16384,32,40.9701,BCE_Loss,0.000000,CUDA
SGD_Nesterov,16384,32,41.6021,Accuracy,100.000000,CUDA
SGD_Nesterov,16384,32,45.2258,BCE_Loss,0.000071,CUDA
SGDR,16384,32,35.2062,Accuracy,100.000000,CUDA
SGDR,16384,32,40.9678,BCE_Loss,0.000121,CUDA
LBFGS,16384,32,134.1204,Accuracy,100.000000,CUDA
LBFGS,16384,32,153.5417,BCE_Loss,0.000003,CUDA
GMM_EM,16384,32,122.5638,LogLikelihood,-39.680535,CUDA
KernelPCA,16384,32,16.1522,VarExplained,6330.787109,CUDA
MLP_AdamW,16384,32,341.5651,Accuracy,100.000000,CUDA
MLP_AdamW,16384,32,316.5378,CE_Loss,0.000000,CUDA
RandomForest,16384,32,1356.0632,Accuracy,100.000000,CUDA
RandomForest,16384,32,1375.19,OOB_Accuracy,100.000000,CUDA
